year,position,is_in_state,jersey,name,id,bio_url,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_RBI,pitching_R,pitching_H,pitching_2B,pitching_3B,pitching_HR,pitching_BB,pitching_SO,batting_AB,batting_SB_successful,batting_SB_attempted,batting_SB,pitching_HBP,hometown,state,WAR,pitching_ERA,pitching_WHIP,pitching_WL,pitching_APP_GS,pitching_CG,pitching_SHO,pitching_SV,pitching_IP,pitching_ER,pitching_BAVG,pitching_WP,pitching_BK,pitching_SFA,pitching_SHA
2015,P,True,29,"Nelson, Kyle",129,https://ucsbgauchos.com/sports/baseball/roster/kyle-nelson/129,,,,,,8,25,5,0,1,10,32,133,,,,4,San Francisco,Calif.,1.3,0.75,0.97,3-1,25-0,0,0-0,2.0,36.0,3,0.188,5.0,0.0,2.0,0.0
2015,P,True,11,"Clements, Chris",110,https://ucsbgauchos.com/sports/baseball/roster/chris-clements/110,,,,,,5,16,3,1,1,6,10,63,,,,1,Pacific Grove,Calif.,0.33119999999999994,2.16,1.32,3-0,8-1,0,0-0,0.0,16.2,4,0.254,2.0,0.0,1.0,2.0
2015,P,True,23,"Nesovic, Robby",130,https://ucsbgauchos.com/sports/baseball/roster/robby-nesovic/130,,,,,,8,17,0,0,2,10,13,72,,,,4,La Mesa,Calif.,0.28888888888888886,2.7,1.35,1-0,14-1,0,0-0,6.0,20.0,6,0.236,1.0,0.0,1.0,2.0
2015,P,True,28,"Record, Joe",135,https://ucsbgauchos.com/sports/baseball/roster/joe-record/135,,,,,,3,10,1,0,0,4,9,40,,,,0,Placentia,Calif.,0.14444444444444443,2.7,1.4,2-1,8-0,0,0-0,0.0,10.0,3,0.25,1.0,0.0,0.0,0.0
2015,P,True,22,"Baits, Connor",102,https://ucsbgauchos.com/sports/baseball/roster/connor-baits/102,,,,,,9,23,3,1,0,10,11,66,,,,2,San Diego,Calif.,-0.05760000000000004,4.32,1.98,1-0,14-1,0,0-0,0.0,16.2,8,0.348,7.0,0.0,0.0,0.0
2015,P,True,31,"Luper, Brandon",125,https://ucsbgauchos.com/sports/baseball/roster/brandon-luper/125,,,,,,2,1,0,0,0,2,4,11,,,,1,Yorba Linda,Calif.,-0.048222222222222236,5.4,0.9,0-0,5-0,0,0-0,0.0,3.1,2,0.091,0.0,0.0,0.0,0.0
2015,P,True,18,"Garcia, Alex",116,https://ucsbgauchos.com/sports/baseball/roster/alex-garcia/116,,,,,,11,13,1,0,0,9,10,43,,,,0,Whittier,Calif.,-0.25555555555555554,6.3,2.2,0-0,10-0,0,0-0,0.0,10.0,7,0.302,5.0,0.0,0.0,1.0
2015,OF,True,25,"Adams, Josh",101,https://ucsbgauchos.com/sports/baseball/roster/josh-adams/101,1.0,1.0,1.0,2.0,0.0,0,1,0,0,0,0,0,1,0.0,0.0,0-0,1,Elk Grove,Calif.,0.0021393333333333342,,,,,,,,,,,,,,
2015,OF,False,12,"Newell, Cameron",131,https://ucsbgauchos.com/sports/baseball/roster/cameron-newell/131,0.392,0.468,0.468,0.936,13.0,16,31,3,0,1,10,10,79,2.0,3.0,2-3,3,Roseburg,Ore.,0.045445013333333326,,,,,,,,,,,,,,
2015,OF,True,5,"Swenson, Luke",139,https://ucsbgauchos.com/sports/baseball/roster/luke-swenson/139,0.346,0.418,0.423,0.841,12.0,14,27,4,1,0,9,10,78,2.0,3.0,2-3,2,Moorpark,Calif.,0.03373135999999998,,,,,,,,,,,,,,
2015,C,True,27,"O'Brien, Paddy",132,https://ucsbgauchos.com/sports/baseball/roster/paddy-o-brien/132,0.333,0.417,0.333,0.75,7.0,5,10,0,0,0,4,5,30,1.0,2.0,1-2,1,Orinda,Calif.,0.5856426,,,,,,,,,,,,,,
2015,IF,True,16,"Muno, JJ",128,https://ucsbgauchos.com/sports/baseball/roster/jj-muno/128,0.333,0.5,0.333,0.833,0.0,1,1,0,0,0,1,1,3,0.0,1.0,0-1,0,Sherman Oaks,Calif.,0.00283716,,,,,,,,,,,,,,
2015,OF,True,21,"Calica, Andrew",106,https://ucsbgauchos.com/sports/baseball/roster/andrew-calica/106,0.298,0.379,0.405,0.784,6.0,15,25,6,0,1,7,15,84,3.0,5.0,3-5,4,Chula Vista,Calf.,0.02817639999999999,,,,,,,,,,,,,,
2015,IF,True,1,"Maris, Peter",126,https://ucsbgauchos.com/sports/baseball/roster/peter-maris/126,0.295,0.337,0.42,0.757,12.0,10,26,3,1,2,7,12,88,1.0,4.0,1-4,0,Laguna Niguel,Calif.,0.059531999999999995,,,,,,,,,,,,,,
2015,P,True,23,"Nesovic, Robby",130,https://ucsbgauchos.com/sports/baseball/roster/robby-nesovic/130,0.286,0.354,0.329,0.683,11.0,9,20,3,0,0,9,12,70,1.0,1.0,1-1,0,La Mesa,Calif.,0.0,,,,,,,,,,,,,,
2015,IF,True,3,"Fisher, Clay",114,https://ucsbgauchos.com/sports/baseball/roster/clay-fisher/114,0.27,0.316,0.324,0.64,13.0,5,20,4,0,0,5,17,74,3.0,7.0,3-7,0,La Quinta,Calif.,0.040830240000000004,,,,,,,,,,,,,,
2015,UTIL,True,26,"Fredrick, Billy",115,https://ucsbgauchos.com/sports/baseball/roster/billy-fredrick/115,0.25,0.415,0.281,0.696,4.0,1,8,1,0,0,8,6,32,0.0,0.0,0-0,1,Santa Clarita,Calif.,0.023153279999999995,,,,,,,,,,,,,,
